,,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
4279,4279,0.179640719,36,2,1.911665291,5388,6,1,0,0,0,1
4280,4280,0.755440452,55,0,0.849660136,2500,12,0,0,0,1,0
4281,4281,0,61,1,1.911665291,5388,7,0,1,0,0,0
4282,4282,0.859188518,70,0,1.911665291,5388,19,0,0,0,0,0
4283,4283,0.056148596,64,1,1.911665291,5388,8,0,1,0,0,0
4284,4284,0.058518247,54,0,0.537900875,4801,7,0,1,0,0,0
4285,4285,0.951652417,35,0,1.911665291,5388,2,0,0,0,0,0
4286,4286,0.178357159,63,0,0.568797685,3800,5,0,2,1,0,0
4287,4287,0.16590155,40,0,0.698787805,8166,5,0,2,0,1,0
4288,4288,0.008320513,74,0,0.14904502,5863,12,0,1,0,0,0
4289,4289,0.066179813,45,1,0.038308638,8300,7,0,0,0,2,0
4290,4290,0.026665668,43,0,1.911665291,5388,7,0,3,0,0,0
4291,4291,0.102342311,62,0,0.737776168,5521,33,0,2,0,0,0
4292,4292,1.074633496,35,3,0.169305116,6000,3,0,0,1,0,0
4293,4293,0.015618778,47,0,0.317473011,2500,8,0,0,0,2,0
4294,4294,0.317815618,57,0,0.239448669,10519,15,0,0,0,0,0
4295,4295,0.9999999,32,0,0.093176074,5934,6,0,0,0,1,0
4296,4296,0.094061828,34,0,0.264355124,9055,14,0,2,0,1,0
4297,4297,0.111762076,44,1,0.089994706,5666,8,0,0,0,0,0
4298,4298,0.976804639,48,1,0.231628454,1700,2,3,0,0,0,1
4299,4299,0.577723544,59,0,1.911665291,5388,6,0,1,0,0,0
4300,4300,0.02137667,70,0,1.911665291,5388,16,0,2,0,0,0
4301,4301,0.507790862,44,2,0.149314178,12597.5,9,0,3,0,0,0
4302,4302,0.042299013,69,0,0.008376661,3461,5,0,0,0,0,0
4303,4303,0.176852893,30,0,0.500333111,1500,4,0,1,0,0,0
4304,4304,0.037327468,52,0,0.386406376,11166,16,0,4,0,1,0
4305,4305,0.88227943,50,1,0.14999222,6426,7,0,0,0,2,0
4306,4306,0,53,0,0.323081702,9656,8,0,2,0,1,0
4307,4307,0.032451445,69,0,0.361917003,5445,11,0,1,0,0,0
4308,4308,0.290056815,57,0,0.489111032,2800,11,0,1,0,0,0
4309,4309,0.424377686,68,0,0.754634311,8900,13,0,1,0,1,0
4310,4310,0.039337271,64,0,0.444589735,6117,15,0,3,2,0,1
4311,4311,0.260911447,57,0,0.35728983,6803,15,0,2,0,1,0
4312,4312,0.180643244,63,0,0.411877395,4697,13,0,1,0,0,0
4313,4313,0.086771635,31,1,0.258609198,4500,6,0,1,0,0,0
4314,4314,0.9999999,36,0,0.513946778,12475,9,0,4,0,3,0
4315,4315,0.516505494,44,0,0.29356492,10535,13,1,1,0,1,0
4316,4316,0.693153423,66,0,0.37478185,4583,3,0,2,0,1,0
4317,4317,0.039711002,49,0,0.004582951,12000,5,0,0,0,0,0
4318,4318,0,51,0,0.303221289,5711,8,0,1,0,0,0
4319,4319,0.070233642,48,0,0.309034721,5500,4,0,1,0,2,0
4320,4320,0.835609074,31,0,0.262453046,6122,11,0,1,0,1,0
4321,4321,0.092190781,60,0,0.550979608,2500,3,0,1,0,0,0
4322,4322,0.802124635,56,0,0.637581849,6566,11,1,3,1,0,0
4323,4323,0.076781874,56,0,0.250884846,12148,9,0,2,0,1,0
4324,4324,0.018345453,66,0,0.18112256,12597.5,15,0,2,0,0,0
4325,4325,0.013870764,59,0,1.911665291,0,14,0,1,0,0,0
4326,4326,0.694364058,34,1,0.731553689,3333,7,0,1,0,0,0
4327,4327,0.478124637,41,0,0.737864078,6900,12,0,5,0,3,1
4328,4328,0.071677893,66,0,0.082049792,10322,10,0,0,0,0,0
4329,4329,0.9999999,53,1,0.203560372,2583,1,0,0,0,0,0
4330,4330,0,30,0,0.864610111,4667,7,0,2,0,0,0
4331,4331,0.033494418,54,0,0.174111212,1096,3,0,1,0,0,0
4332,4332,0.561879855,32,0,0.290236588,3000,8,0,0,0,2,0
4333,4333,0.035568888,53,0,0.305772812,2684,6,0,1,0,0,0
4334,4334,0.013169856,46,0,0.307642696,3100,5,0,1,0,0,0
4335,4335,0.013299668,77,0,0.011952191,1254,6,0,0,0,0,0
4336,4336,0.013137341,39,2,0.375825292,7875,12,0,2,0,3,0
4337,4337,0.079306898,38,1,1.911665291,5388,8,0,0,1,2,0
4338,4338,0.382857918,46,0,0.269569793,7600,9,0,1,0,3,0
4339,4339,0,45,0,0.168848935,10233,7,0,1,0,1,0
4340,4340,0.44123761,63,0,0.28274869,12597.5,11,0,2,0,0,0
4341,4341,0.176435456,48,0,0.317543442,4200,16,0,1,0,0,0
4342,4342,0.535286065,47,0,0.587551556,8000,8,0,2,0,2,0
4343,4343,0.615609352,52,1,0.892181364,2800,14,0,0,0,0,0
4344,4344,0.9999999,59,0,0,5300,1,0,0,0,0,0
4345,4345,0.712952079,58,1,0.472414646,8083,14,0,1,0,2,0
4346,4346,0.35548947,60,0,0.475393371,5973,9,0,1,0,3,0
4347,4347,0.017659711,56,0,0.012820513,4445,6,0,0,0,2,0
4348,4348,1.167296156,38,0,0.02216262,7083,2,2,0,0,0,0
4349,4349,0.135586362,41,0,0.224106231,4894,13,0,0,0,0,0
4350,4350,0.227070378,58,0,0.422001442,12480,12,0,3,0,3,0
4351,4351,0.407993339,49,0,0.311534501,3883,10,3,2,0,0,0
4352,4352,0.086377971,51,0,0.219463423,6000,5,0,2,0,3,0
4353,4353,0.539370194,52,0,0.53993005,6861,11,0,2,0,3,0
4354,4354,0.016195089,49,0,0.068660128,10500,10,0,1,0,0,0
4355,4355,0.9999999,53,1,1.911665291,5388,2,0,0,0,0,0
4356,4356,0.866950293,46,1,0.535738773,11667,5,0,1,0,0,0
4357,4357,0,43,0,0.495975201,12597.5,16,0,5,0,0,0
4358,4358,0.022529693,41,0,1.911665291,5388,4,0,2,0,3,0
4359,4359,0.322643631,44,2,0.057744028,6320,7,0,0,0,1,1
4360,4360,0.030118613,71,0,0.544448543,2710,9,0,1,0,0,0
4361,4361,0.049798008,79,0,1.911665291,5388,9,0,0,0,0,0
4362,4362,0.9999999,45,0,0.214445605,6700,2,0,0,0,0,0
4363,4363,0.458819676,54,1,0.383285099,12597.5,15,1,2,0,0,0
4364,4364,0.878854857,47,0,0.598022694,8900,17,0,2,0,0,0
4365,4365,0.256313203,44,0,0.730244184,5200,14,0,3,0,1,0
4366,4366,0.9999999,24,0,0.068850639,1800,0,3,0,0,1,1
4367,4367,0.019961525,89,0,0.009996668,3000,5,0,0,0,0,0
4368,4368,0.670665867,34,0,0.169735855,12000,3,0,2,0,0,0
4369,4369,0.154025568,49,0,0.24361451,4658,20,0,2,0,0,0
4370,4370,0.264911321,62,0,0.249294184,10625,13,0,2,0,1,0
4371,4371,0.895699148,47,1,0.471958321,6525,9,0,1,1,1,0
4372,4372,0.015346231,65,0,0.006079027,3618,12,0,0,0,0,0
4373,4373,0.118936908,37,0,0.038278826,12597.5,12,0,0,0,1,0
4374,4374,0.435445166,58,0,0.945970979,3238,16,0,1,0,1,0
4375,4375,0.746737998,60,0,0.729443595,8500,13,0,2,0,0,0
4376,4376,0,50,0,0.726978074,5244,6,0,2,1,2,0
4377,4377,0.473803321,38,0,0.49078789,10800,10,0,2,0,2,0
4378,4378,0,67,0,1.911665291,5388,8,0,1,0,0,0
4379,4379,0,54,0,0,2916,6,0,0,0,0,0
4380,4380,0.9999999,68,0,0,4060,1,0,0,0,0,0
4381,4381,0.051389722,55,0,1.306042032,2283,11,0,2,0,0,0
4382,4382,0.153526403,29,0,0.223371251,2900,16,0,0,0,0,0
4383,4383,0.829439019,48,0,0.324549961,3832,6,0,0,0,2,0
4384,4384,0.31039338,40,1,0.436318517,12597.5,12,0,2,0,3,0
4385,4385,0.039810218,68,0,1.911665291,5388,12,0,2,0,0,0
4386,4386,0.027963874,84,0,0.00879824,5000,4,0,0,0,0,0
4387,4387,0.115348867,49,0,0.404901762,4936,12,0,3,0,0,0
4388,4388,0,93,0,0,4889,5,0,0,0,0,0
4389,4389,0.174713011,44,0,0.160346574,12597.5,12,0,1,0,0,0
4390,4390,0.990631523,36,0,0.600599957,9333,8,0,4,0,2,0
4391,4391,0.9999999,54,0,1.911665291,5388,0,0,0,0,0,0
4392,4392,0.008227578,49,1,0.434946958,8200,11,0,3,0,2,0
4393,4393,0.132320748,46,0,0.119171513,9800,6,0,1,0,0,0
4394,4394,0.448658649,43,1,0.228777122,10000,12,0,1,0,1,0
4395,4395,0.151866152,79,0,0.112253642,3500,2,0,0,0,0,0
4396,4396,0,45,0,1.911665291,5388,6,0,2,0,0,0
4397,4397,0.020481797,83,0,0.007451836,5501,7,0,0,0,0,0
4398,4398,0.026335678,41,0,1.911665291,0,6,0,0,0,0,0
4399,4399,0.021750723,70,0,1.911665291,5388,4,0,0,0,2,0
4400,4400,0.51907864,65,1,0.306272757,12083,18,1,2,0,0,0
4401,4401,0.014897054,75,0,1.911665291,5388,2,0,0,0,0,0
4402,4402,0,63,1,1.911665291,5388,12,0,2,0,0,0
4403,4403,0.10685409,69,0,0.021432709,5178,6,0,0,0,1,0
4404,4404,0.01719914,55,0,1.827522936,1089,5,0,2,0,1,0
4405,4405,0.03037462,53,0,0.201707082,12597.5,6,0,2,0,3,0
4406,4406,0.005359571,80,0,1.911665291,5388,2,0,0,0,0,0
4407,4407,0.821921722,33,0,0.715953307,2569,5,0,1,0,4,0
4408,4408,0.417982214,45,0,1.911665291,5388,4,0,1,0,0,0
4409,4409,0.209093237,57,0,0.330702447,3800,7,0,2,0,0,0
4410,4410,0.034116955,66,0,0.180771077,6250,8,0,2,0,0,0
4411,4411,1.185628743,41,0,0.010996335,3000,1,2,0,0,0,0
4412,4412,0.254066137,55,0,0.571995634,10076,11,0,2,0,1,0
4413,4413,0.074577306,34,0,0.628124142,3640,8,0,2,0,0,0
4414,4414,0.9999999,76,0,0,5388,3,0,0,0,0,0
4415,4415,0,48,1,1.911665291,5388,5,0,0,0,0,0
4416,4416,0.148477639,46,0,0.542531918,6500,11,0,2,0,2,1
4417,4417,0.9999999,21,98,0,0,0,98,0,98,0,0
4418,4418,0.058388322,56,0,0.19077135,11615,6,0,2,0,1,0
4419,4419,0.003291313,64,0,0.350267048,8050,23,0,2,0,0,0
4420,4420,0.363617937,56,0,0.311321737,9600,9,0,1,0,1,0
4421,4421,0.003688725,31,0,1.911665291,5388,9,0,1,0,0,0
4422,4422,0.16730168,52,0,0.613483685,4167,18,0,1,0,0,0
4423,4423,0.00395156,87,0,1.911665291,5388,7,0,1,0,0,1
4424,4424,0.704804221,47,0,0.396466279,4640,12,0,0,0,3,0
4425,4425,0.558882321,49,0,0.487111699,9077,18,0,1,0,3,0
4426,4426,0.407450243,76,0,1.911665291,0,5,0,0,0,0,0
4427,4427,0.454230942,59,0,0.472206573,10649,9,0,3,0,1,0
4428,4428,0.38961039,29,0,0.396617986,1300,5,0,0,0,0,0
4429,4429,0.124227987,31,1,1.911665291,5388,5,0,0,0,0,0
4430,4430,0.425517665,41,1,0.318839093,9750,12,0,2,0,2,0
4431,4431,0,24,0,0.726011561,864,6,0,0,0,0,0
4432,4432,0.551286919,41,0,1.124334682,4696,19,0,2,0,1,0
4433,4433,0.032932455,71,0,0.250446561,12597.5,10,0,3,0,1,0
4434,4434,0.239929783,62,0,0.230356271,2048,6,0,0,0,0,0
4435,4435,0.028021842,58,0,0.018490755,2000,8,0,0,0,0,0
4436,4436,0.626521571,56,1,0.310956522,5749,10,0,1,0,0,0
4437,4437,0.424309212,43,0,1.911665291,5388,5,0,1,0,0,0
4438,4438,0.9999999,63,0,0.199882422,1700,2,0,0,0,0,0
4439,4439,0.417106303,44,1,0.438400344,4650,11,0,3,0,1,0
4440,4440,0.99840032,79,2,1.911665291,5388,3,1,0,0,0,0
4441,4441,0.932394189,38,0,0.412239489,8300,6,0,1,0,2,0
4442,4442,0.0045665,58,0,0.014030612,1567,5,0,0,0,0,0
4443,4443,0.9999999,33,1,0.160309563,3617,1,0,0,0,3,0
4444,4444,0.095245924,41,0,1.911665291,5388,14,0,1,0,0,0
4445,4445,0.540695046,39,0,0.672433036,3583,8,0,0,0,1,0
4446,4446,0.504059482,86,0,0.357552581,4183,10,0,1,0,0,0
4447,4447,0.420579645,37,3,0.368717504,4615,6,0,2,0,2,0
4448,4448,0.9999999,71,0,0,5388,3,0,0,0,0,0
4449,4449,0.374002281,76,0,0.638109679,3956,15,0,1,0,0,0
4450,4450,0.069442399,59,0,0.139317854,9000,7,1,1,0,0,1
4451,4451,0.089813303,61,0,1.911665291,5388,9,0,1,0,0,0
4452,4452,0.048434473,58,0,0.41347485,4333,4,0,1,0,0,0
4453,4453,0.171358253,27,0,1.911665291,300,9,0,0,0,0,0
4454,4454,0.188259144,50,0,0.33796752,8127,8,0,1,0,1,0
4455,4455,0.074033375,51,0,0.175490322,7800,9,0,1,0,3,0
4456,4456,0.663792026,61,3,0.466569465,4800,10,6,2,4,1,0
4457,4457,0.821973906,52,2,0.199210047,9873,7,0,1,0,2,0
4458,4458,0,73,0,1.911665291,5388,5,0,2,0,0,0
4459,4459,0.12414219,59,0,0.333083341,10666,9,0,2,0,0,0
4460,4460,0.012562716,61,0,0.285802252,11367,9,0,1,0,0,0
4461,4461,0.153700454,39,0,0.28118917,5650,5,0,1,0,0,0
4462,4462,0.3303633,51,0,0.265805757,11150,6,0,1,0,0,0
4463,4463,0,29,0,0,2400,3,0,0,0,0,0
4464,4464,0.466715481,74,2,0.711536058,8000,20,0,1,0,0,0
4465,4465,0.112978121,45,0,0.127382656,12597.5,11,0,1,0,3,0
4466,4466,0.9999999,44,0,0.370377655,5083,3,0,1,0,3,0
4467,4467,0.803371032,41,0,0.502499039,2600,5,0,0,0,0,0
4468,4468,0.9999999,52,0,0,2500,0,0,0,0,0,0
4469,4469,0.044395191,58,0,0.089454739,7500,13,0,1,0,1,0
4470,4470,0.664408023,49,0,1.911665291,5388,7,0,1,0,2,0
4471,4471,0,53,0,1.911665291,5388,3,0,1,0,0,0
4472,4472,0.007758821,61,0,0.609701907,5400,7,0,1,0,0,0
4473,4473,0.038171327,41,0,0.315995872,4844,5,0,1,0,0,0
4474,4474,0.001007384,64,0,0.106654301,12597.5,8,0,1,0,0,0
4475,4475,0,59,0,0.126484189,8000,5,0,1,0,0,0
4476,4476,0.969551522,42,0,0.588921283,2400,6,0,0,0,0,0
4477,4477,0.028019892,62,0,1.911665291,3950,7,0,1,0,0,0
4478,4478,0.000853624,66,0,1.911665291,5388,6,0,1,0,0,0
4479,4479,0.333973032,36,0,0.238213724,7635,9,0,1,0,2,0
4480,4480,0.215020299,61,0,0.418145464,4000,16,0,1,0,0,0
4481,4481,0.003461272,52,1,0.71585213,3191,8,0,1,0,0,0
4482,4482,0.944055944,27,0,0.168207838,2270,3,0,0,0,3,0
4483,4483,0,39,0,0.652738566,7083,9,0,2,0,1,0
4484,4484,0.183234776,55,0,0.280965679,11100,11,0,2,0,1,0
4485,4485,0.994975855,41,0,0.195557825,3916,8,0,0,0,0,1
4486,4486,0.278538908,55,0,1.008883953,1800,8,0,2,0,0,0
4487,4487,0.890479154,34,2,0.221777859,5500,5,0,0,0,4,1
4488,4488,0.063188716,62,0,1.911665291,5388,5,0,1,0,0,0
4489,4489,0.019142076,39,0,0.736201651,2300,10,0,1,0,2,0
4490,4490,0.9999999,30,0,0.048419368,2498,0,0,0,0,0,0
4491,4491,0.349776947,63,0,0.668812171,3417,8,0,1,0,0,0
4492,4492,0.769780063,55,3,0.0527,9999,7,0,0,0,0,0
4493,4493,0.340615941,41,0,0.317636405,8833,6,0,2,0,2,0
4494,4494,0.736284396,37,0,0.174214018,3466,4,0,0,0,1,0
4495,4495,0.879112089,57,0,0.10331181,4800,6,0,0,0,0,0
4496,4496,0,60,0,0.347295306,4750,2,0,1,0,2,0
4497,4497,0.874833555,42,0,0.513744655,3273,6,2,0,0,2,0
4498,4498,0.093111948,66,0,0.381520385,5616,6,0,1,0,0,0
4499,4499,0.010675732,73,0,0.374409306,2750,8,0,2,0,0,0
4500,4500,0,24,0,0.020824656,2400,3,0,0,0,0,0
4501,4501,1.019993336,32,2,0.213344241,11000,7,0,1,0,0,0
4502,4502,0.055840605,41,0,0.008436445,5333,9,0,0,0,0,0
4503,4503,0.029239415,62,0,0.184117154,12597.5,6,0,2,0,1,0
4504,4504,0.521652181,41,0,0.353445198,2800,5,0,1,0,1,0
4505,4505,0.307310105,55,1,0.754016423,2800,5,0,1,0,1,0
4506,4506,0.256824323,55,0,0.218192511,5100,7,0,0,0,4,0
4507,4507,0.004371346,48,0,0.286240463,7601,7,0,2,0,1,0
4508,4508,0,45,2,0.48364924,4800,8,1,1,1,2,0
4509,4509,0.04130809,72,0,0.005870841,2554,3,0,0,0,0,0
4510,4510,0.568320818,57,0,0.79273348,4100,7,0,3,0,0,0
4511,4511,0.309421154,37,0,0.944751381,3800,8,0,2,1,1,0
4512,4512,0.035658506,38,0,0.150106237,8000,7,0,3,0,0,0
4513,4513,0.1520058,79,0,0.670342562,4261,28,0,2,0,0,0
4514,4514,0.084575005,64,0,1.911665291,5388,16,0,4,0,0,0
4515,4515,0.040117255,45,1,0.095159697,3036,7,0,0,0,3,0
4516,4516,0.081614871,49,0,0.172797585,5300,5,0,1,0,1,0
4517,4517,0.054743094,42,2,0.212930892,6062,19,0,1,1,2,0
4518,4518,0.043228061,66,0,0.269946011,3333,23,0,0,0,0,0
4519,4519,0.977404519,61,2,0.286099501,7416,4,0,1,0,0,0
4520,4520,0.560314747,48,0,0.130661395,5563,5,0,0,0,1,0
4521,4521,0.996765182,51,0,0.389978938,9020,17,0,1,1,2,0
4522,4522,0.526734007,46,3,0.984933571,7300,17,0,3,0,1,0
4523,4523,0.037773972,34,0,0.056448732,8396,14,0,0,0,0,0
4524,4524,0.124516356,30,0,0.210777923,2300,8,0,0,0,1,0
4525,4525,0.2656301,50,0,1.911665291,5388,7,0,1,0,1,0
4526,4526,0.031917964,60,0,1.911665291,5388,14,0,2,0,1,0
4527,4527,0.661451543,26,0,0.05956059,5825,6,0,0,0,4,0
4528,4528,0.124111803,53,0,0.305608581,11000,8,0,2,0,3,0
4529,4529,0.191185556,48,0,0.20754178,7000,8,0,1,0,2,0
4530,4530,0.337664104,37,0,0.292239249,10114,7,0,1,0,1,0
4531,4531,1.158218126,39,0,0.257593233,2600,2,3,0,1,1,0
4532,4532,0.038416346,35,0,0.766420085,4460,12,0,2,0,0,0
4533,4533,0.9999999,26,0,0.100468506,1920,4,0,0,0,0,0
4534,4534,0.798359185,45,0,1.911665291,0,5,0,0,1,3,1
4535,4535,0.9999999,56,0,1.911665291,5388,5,0,3,0,0,0
4536,4536,0.051916832,55,0,0.214370546,6735,9,0,1,0,0,0
4537,4537,0.702635896,43,0,0.300389433,9500,14,0,1,0,3,0
4538,4538,0,53,0,0.165638412,7455,8,0,1,0,0,0
4539,4539,0.204676135,62,1,0.841974432,2815,17,0,2,0,0,0
4540,4540,0.982253349,50,12,0.529789864,4044,15,0,0,1,0,1
4541,4541,0.023391626,71,1,0.128251896,10416,8,0,2,0,1,0
4542,4542,0.418435946,46,3,0.636868064,4865,14,0,1,0,0,0
4543,4543,0.00932279,53,0,0.484478936,2705,12,0,1,0,2,0
4544,4544,0.564941208,36,0,0.508661133,11083,14,0,2,0,0,0
4545,4545,0.727114935,49,0,0.02879712,10000,2,0,0,0,0,0
4546,4546,0.083776927,39,1,1.911665291,5388,6,0,2,0,0,0
4547,4547,0.752144448,28,0,0.333256723,4350,9,0,0,0,0,1
4548,4548,0.045856631,47,1,0.199897881,7833,4,0,1,0,2,0
4549,4549,0.106701698,26,0,0.796882381,2116,10,0,2,0,0,0
4550,4550,0.207487113,35,0,0.941112323,2750,11,0,2,0,1,1
4551,4551,0.508191332,52,0,0.666894946,7300,12,0,1,0,0,0
4552,4552,0.433934821,31,1,0.490823137,7191,11,0,2,0,1,0
4553,4553,0.990854131,53,0,0.442190227,4583,7,0,1,0,1,0
4554,4554,0.9999999,47,0,1.911665291,1,3,0,2,0,0,0
4555,4555,0.9999999,78,0,0,5388,5,0,0,0,0,0
4556,4556,0.704911886,60,1,1.911665291,5388,5,2,0,1,0,0
4557,4557,0.222672811,74,0,0.004643963,7751,6,0,0,0,0,0
4558,4558,0.067098208,34,0,0.280672862,8500,7,0,2,0,2,0
4559,4559,0.083264816,85,0,1.911665291,5388,4,0,0,0,0,0
4560,4560,0.810481465,60,0,1.742561983,2419,11,0,1,0,0,0
4561,4561,0.00029999,46,0,0.124334785,6200,4,0,1,0,1,0
4562,4562,0.024116701,84,0,1.911665291,5388,8,0,0,0,0,0
4563,4563,0.041108256,72,0,1.001370802,4376,7,0,1,0,0,0
4564,4564,0.9999999,49,0,1.911665291,5388,1,0,0,1,0,0
4565,4565,0.078366845,52,1,0.06885759,5750,18,0,0,0,0,1
4566,4566,0.026846427,72,0,0.26563598,4268,12,0,2,0,0,0
4567,4567,0.032674183,58,0,0.254486386,12597.5,9,0,2,0,0,0
4568,4568,0.420971354,47,0,0.218872051,6400,5,0,1,0,2,0
4569,4569,0.9999999,32,0,0.112087246,3300,1,1,0,0,2,0
4570,4570,0.015684112,58,0,0.00762121,12333,3,0,0,0,1,0
4571,4571,0.9999999,59,1,0.432615534,4132,3,0,1,1,6,0
4572,4572,0.017454301,43,0,0.004624422,8000,4,0,0,0,1,0
4573,4573,0.143780977,46,0,0.083691284,7216,14,0,0,0,2,0
4574,4574,0.090751779,59,3,0.61098991,7333,4,1,2,0,0,1
4575,4575,0.464611673,58,0,0.546270718,5791,14,0,2,0,1,0
4576,4576,0.012527934,40,0,1.911665291,5388,17,0,2,0,5,0
4577,4577,0.017744083,67,0,0.054249065,3741,4,0,1,0,0,0
4578,4578,0.039836813,38,0,0.20941647,5500,6,0,1,0,0,0
4579,4579,0,59,0,0.001273705,7065,5,0,0,0,0,0
4580,4580,0.026318531,51,0,1.019579254,4800,15,0,2,0,0,0
4581,4581,0.117279044,55,0,0.218501703,12333,14,0,1,0,0,0
4582,4582,0.244123144,39,0,0.377927082,10120,13,0,2,0,0,0
4583,4583,0.9999999,24,0,0,2833,0,2,0,0,0,1
4584,4584,0.9999999,39,0,0.149966674,4500,2,0,0,1,3,1
4585,4585,0.418009291,60,0,0.266346731,5000,13,0,1,0,0,0
4586,4586,0.265371382,67,1,0.038434293,12597.5,21,0,1,0,0,0
4587,4587,0.01919904,73,0,0.006466784,1700,2,0,0,0,0,0
4588,4588,0.9999999,63,0,0.318292455,5340,5,0,1,0,0,0
4589,4589,0.06482931,44,0,1.911665291,5388,18,0,1,0,3,0
4590,4590,0.744500151,66,0,1.905547226,1333,7,0,3,0,0,0
4591,4591,0.9999999,44,1,0,5388,0,0,0,0,0,0
4592,4592,0.128874845,37,0,0.225129145,6000,8,0,2,0,3,0
4593,4593,0.002384022,61,0,0.398697292,2916,11,0,1,0,0,0
4594,4594,0.97551339,50,0,0.520638361,10150,10,0,3,0,1,0
4595,4595,0.011597477,54,0,0.567314884,2673,8,0,1,0,0,0
4596,4596,0.011995202,25,0,0,841,1,0,0,0,0,0
4597,4597,0.10317671,27,0,0.459011711,3500,8,0,1,0,3,0
4598,4598,0.358011137,53,0,0.737229102,2583,15,0,1,0,0,0
4599,4599,1.223877671,40,0,0.294918886,6533,7,0,2,0,2,0
4600,4600,0.321321431,75,0,1.337987569,11100,7,1,2,0,0,0
4601,4601,0.149496514,37,0,0.771021144,6100,4,0,2,0,0,0
4602,4602,0.031640597,70,0,0.307709398,4500,9,1,2,0,1,0
4603,4603,0.530889516,51,0,0.219890055,2000,7,0,0,0,1,0
4604,4604,0.166907402,44,0,1.911665291,5388,13,0,4,0,0,0
4605,4605,0.032664146,47,0,1.911665291,5388,5,0,1,0,0,0
4606,4606,0.302767899,41,0,0.663239075,3500,6,0,1,0,2,0
4607,4607,0.242932118,56,0,0.360519926,7000,10,0,2,0,3,0
4608,4608,0.107614482,88,1,0.310125432,5500,10,0,2,0,0,0
4609,4609,0.53079086,36,0,0.244217687,2939,6,0,0,0,2,0
4610,4610,0.007186319,50,0,1.911665291,5388,10,0,1,0,0,0
4611,4611,1.019994287,26,4,0.124704599,5500,5,1,0,1,0,0
4612,4612,0.378092332,34,0,0.638289369,2501,8,0,1,0,1,0
4613,4613,0.054507979,55,0,0.235678078,12597.5,6,0,1,0,2,0
4614,4614,0.794311717,62,0,0.507859551,12597.5,26,0,6,0,2,0
4615,4615,0.175282472,38,0,1.911665291,5388,3,0,0,0,0,0
4616,4616,0.028926323,82,0,1.911665291,5388,8,0,0,0,0,0
4617,4617,0,51,1,0.273172683,10000,10,0,2,0,0,0
4618,4618,0,54,0,1.911665291,5388,12,0,2,0,1,0
4619,4619,0.481959568,55,1,0.478041757,8333,9,0,2,0,1,0
4620,4620,0.415155078,38,0,0.264168359,5416,11,0,0,0,2,0
4621,4621,0.032190392,64,0,1.911665291,5388,11,0,2,0,0,0
4622,4622,0.121627816,72,0,1.911665291,5388,7,0,0,0,0,0
4623,4623,0.029104727,61,0,0.29149668,12500,14,0,2,0,1,0
4624,4624,0.016117572,67,0,0.011931635,3100,6,0,0,0,0,0
4625,4625,0.665809231,65,0,0.966890595,4167,9,0,2,0,0,0
4626,4626,0.503970199,41,0,0.761094545,5700,17,0,2,0,1,0
4627,4627,0.9999999,95,0,1.911665291,5388,3,0,1,0,0,0
4628,4628,0.082170174,38,0,1.154338265,2500,5,0,1,0,0,0
4629,4629,0.386006778,52,0,1.911665291,5388,11,0,2,0,0,0
4630,4630,0.000373323,63,0,1.911665291,5388,9,0,1,0,0,0
4631,4631,0.018167762,86,0,1.911665291,5388,5,0,0,0,0,0
4632,4632,0.149963622,48,0,0.395230238,12597.5,8,0,1,0,0,0
4633,4633,0.912205443,48,0,0.260686966,12597.5,10,0,1,0,3,0
4634,4634,0.002447091,56,0,0.382253995,4755,21,0,1,0,0,0
4635,4635,0.011941036,80,0,0.007498125,4000,4,0,0,0,1,0
4636,4636,0.487113996,44,0,0.681210232,7700,21,0,2,0,2,0
4637,4637,0.645490301,51,0,0.507088332,2750,10,0,0,0,1,0
4638,4638,0.1972545,39,0,0.347330729,6143,9,0,1,0,1,0
4639,4639,0.253707376,62,0,0.516678666,4166,15,0,2,0,1,0
4640,4640,0.057047148,67,0,0.215203901,4511,4,0,0,0,0,0
4641,4641,0.446007919,39,0,0.343585629,11216,12,0,1,0,4,0
4642,4642,0.001291426,38,0,0.40223616,7333,13,0,1,0,0,0
4643,4643,0.027611114,74,0,1.911665291,5388,7,0,0,0,0,0
4644,4644,0.9999999,37,0,1.911665291,5388,0,0,0,0,1,0
4645,4645,0.092390761,48,0,0.216531497,9000,4,0,1,0,0,0
4646,4646,0.042068699,77,0,1.911665291,5388,2,0,0,0,0,0
4647,4647,0.030837715,36,0,0.047850307,7000,4,0,0,0,0,0
4648,4648,0.776169972,45,1,0.515387179,9000,7,0,4,0,0,1
4649,4649,0.9999999,33,0,0.44914756,1700,3,0,0,0,1,0
4650,4650,0.172024352,70,0,1.911665291,5388,5,0,0,0,0,0
4651,4651,0.004883494,64,0,1.911665291,5388,6,0,2,0,0,0
4652,4652,0.290716381,37,0,0.458628842,4229,12,0,2,0,2,0
4653,4653,0.596990371,48,1,0.859364586,4500,11,0,2,0,2,0
4654,4654,0.789690034,29,0,0.299126899,8360,10,0,2,0,0,0
4655,4655,0.12635215,41,0,0.100747113,4416,5,0,0,0,1,0
